figure	new_panel	scientific_content	generated_source_asset	analysis_or_render_workflow	assembly_status
Figure 1	a-f	Method overview, sparse-panel design, reconstruction and validation	manuscript/source_panels/figure_01/Figure_1_HyperSpatial_MAP_Nature.svg	reproducibility/workflows/manuscript/figure_01/build_figure1.py	Programmatic source figure; final journal layout remains external
Figure 2	a	Reciprocal source-to-target reconstruction design	manuscript/source_panels/figure_02/Figure_2_revised_compact_panel_e_enlarged.svg	reproducibility/workflows/manuscript/figure_02/build_figure_revision.py; reproducibility/workflows/manuscript/figure_02/build_figure2_external_revision.py	Panel imported into a manual Inkscape assembly outside this repository
Figure 2	b	Paired HyperSpatial-MAP versus registered atlas transfer	manuscript/source_panels/figure_02/Figure_2_revised_compact_panel_e_enlarged.svg	reproducibility/workflows/manuscript/figure_02/build_figure_revision.py; reproducibility/workflows/manuscript/figure_02/build_figure2_external_revision.py	Panel imported into a manual Inkscape assembly outside this repository
Figure 2	c	Comparison with gimVI and TransImpSpa	manuscript/source_panels/figure_02/Figure_2_revised_compact_panel_e_enlarged.svg	reproducibility/workflows/manuscript/figure_02/run_hyperspatial_map_gimvi_baseline_20260805.py; reproducibility/workflows/manuscript/figure_02/run_transimpspa_benchmark.py; reproducibility/workflows/manuscript/figure_02/build_figure2_external_revision.py	Original source panel d relabelled c during manual Inkscape assembly
Figure 2	d	wnt11f2 residual decomposition at 50% epiboly, 75% epiboly and 6-somite	manuscript/source_panels/figure_02/Figure_3_specimen_specific_residual_recovery_corrected_render_fixed.svg	reproducibility/workflows/manuscript/figure_02/generate_wnt11f2_cross_stage_panels.py; reproducibility/workflows/manuscript/figure_02/generate_figure3_corrected.py; reproducibility/workflows/manuscript/figure_02/render_fixed_vector_exports.py	Three source rows combined in a manual Inkscape assembly outside this repository
Figure 2	e	Gene-wise residual-recovery distributions across six reciprocal directions	manuscript/source_panels/figure_02/Supp_Fig_S4_all_gene_guard.svg	reproducibility/workflows/manuscript/supplementary/generate_hyperspatial_supplementary_figures.py	Source panel S4a imported and resized in a manual Inkscape assembly outside this repository
Figure 3	a	Representative atlas-relative residual landscape	manuscript/source_panels/figure_03/Figure_5_residual_biology.svg	reproducibility/workflows/manuscript/figure_03/residual_landscape/figure5.py	Source panel imported into a manual Inkscape assembly outside this repository
Figure 3	b	Negative-binomial and annotation-association technical nulls	manuscript/source_panels/figure_03/S6i_residual_variance_NB_null.svg; manuscript/source_panels/figure_03/S6j_moran_NB_null.svg; manuscript/source_panels/figure_03/S6k_annotation_eta2_NB_null.svg	reproducibility/workflows/manuscript/figure_03/run_nb_null.py; reproducibility/workflows/manuscript/figure_03/build_s6_nb_append.py	Selected source panels imported into a manual Inkscape assembly outside this repository
Figure 3	c	Biological organization and compartment-level recovery	manuscript/source_panels/figure_03/Figure_5_residual_biology.svg	reproducibility/workflows/manuscript/figure_03/residual_landscape/figure5.py	Selected source panels imported into a manual Inkscape assembly outside this repository
Figure 3	d	Residual Moran's I under HyperSpatial-MAP and Spateo Morpho registration	manuscript/source_panels/figure_03/Supp_Fig_S1_registration_qc_with_Spateo.svg	reproducibility/workflows/manuscript/figure_03/build_s1_spateo_extension.py	Selected source panel imported into a manual Inkscape assembly outside this repository
Figure 3	e	Source-validation guard and observed target effect	manuscript/source_panels/figure_03/Supp_Fig_S4_all_gene_guard.svg	reproducibility/workflows/manuscript/supplementary/generate_hyperspatial_supplementary_figures.py	Selected source panels S4d-e imported into a manual Inkscape assembly outside this repository
Figure 3	f	Recoverability versus 8-, 16- and 32-gene panel budgets	manuscript/source_panels/figure_03/Supplementary_Figure_Panel_Design.svg	reproducibility/workflows/manuscript/figure_03/run_panel_design_extension.py	Selected source panel imported into a manual Inkscape assembly outside this repository
Figure 4	a-f	Developmental forecasting with HyperSpatial-MAP-T	manuscript/source_panels/figure_04/Figure_4_4D_forecasting_corrected.svg	reproducibility/workflows/manuscript/figure_04/run_hyperspatial_map_t_4d_frozen_20260804.py; reproducibility/workflows/manuscript/figure_04/postprocess_hyperspatial_map_t_20260804.py; reproducibility/workflows/manuscript/figure_04/build_corrected_figures.py	Fully programmatic source figure; final journal layout unchanged
Figure 5	a	Cross-dataset generalization schematic	Not bundled; manually authored schematic	Not applicable	Manual artwork remains outside this computational repository
Figure 5	b	2D DLPFC reciprocal reconstruction summary	manuscript/source_panels/figure_05/Figure_6_2D_generalization.svg	reproducibility/workflows/manuscript/figure_05/dlpfc_2d/summarize_phase3.py	Source panel imported into a manual Inkscape assembly outside this repository
Figure 5	c	Representative DLPFC ERMN reconstruction	manuscript/source_panels/figure_05/Figure_6_2D_generalization.svg	reproducibility/workflows/manuscript/figure_05/dlpfc_2d/summarize_phase3.py	Original source panel d imported into a manual Inkscape assembly outside this repository
Figure 5	d	DLPFC source-selected guard	manuscript/source_panels/figure_05/Figure_6_2D_generalization.svg	reproducibility/workflows/manuscript/figure_05/dlpfc_2d/summarize_phase3.py	Original source panel e imported into a manual Inkscape assembly outside this repository
Figure 5	e	Cross-platform Xenium and CosMx reconstruction benchmarks	manuscript/source_panels/figure_05/SPATCH_merged_cross_platform_main.svg	reproducibility/workflows/manuscript/figure_05/01_build_merged_figure.py	Selected source panels d-e imported into a manual Inkscape assembly outside this repository
Figure 5	f	Cross-platform representative hidden-gene reconstructions	manuscript/source_panels/figure_05/SPATCH_merged_cross_platform_main.svg	reproducibility/workflows/manuscript/figure_05/01_build_merged_figure.py	Source panel f imported into a manual Inkscape assembly outside this repository
Figure 6	a	Disease-adaptation schematic	Not bundled; manually authored schematic	Not applicable	Manual artwork remains outside this computational repository
Figure 6	b	Real-stroke HyperSpatial-MAP reconstruction	manuscript/source_panels/figure_06/Supplementary_real_stroke_MAP.svg	reproducibility/workflows/manuscript/figure_06/run_real_stroke_map.py	Selected source panels b-c imported into a manual Inkscape assembly outside this repository
Figure 6	c	Representative Ppp1r1b comparison with CONCERT	manuscript/source_panels/figure_06/MAP_vs_CONCERT_stroke.svg	reproducibility/workflows/manuscript/figure_06/run_official_concert_stroke.py; reproducibility/workflows/manuscript/figure_06/evaluate_output_matched.py	Original source panel e imported into a manual Inkscape assembly outside this repository
Figure 6	d	MAP versus CONCERT stroke summaries	manuscript/source_panels/figure_06/MAP_vs_CONCERT_stroke.svg	reproducibility/workflows/manuscript/figure_06/run_official_concert_stroke.py; reproducibility/workflows/manuscript/figure_06/evaluate_output_matched.py	Selected source panels b-c imported into a manual Inkscape assembly outside this repository
