scope	workflow	entry_point	frozen_inputs_or_config	output_role
Package	Minimal 2D adaptation	hyperspatial adapt --config examples/minimal_2d/config.yaml	examples/minimal_2d/config.yaml	Executable deterministic example
Package	Minimal 3D adaptation	hyperspatial adapt --config examples/minimal_3d/config.yaml	examples/minimal_3d/config.yaml	Executable deterministic example
Figure 1	Overview renderer	reproducibility/workflows/manuscript/figure_01/build_figure1.py	manuscript/frozen_tables/figure_01/ASSET_PROVENANCE.tsv	Generated source panel
Figure 2	Present-state benchmark	reproducibility/workflows/manuscript/figure_02/build_figure_revision.py	reproducibility/configs/manuscript/present_state_protocol.json	Generated source panels
Figure 2	gimVI benchmark	reproducibility/workflows/manuscript/figure_02/run_hyperspatial_map_gimvi_baseline_20260805.py	manuscript/frozen_tables/figure_02/FIGURE_METHOD_SUMMARY.tsv	Frozen comparator workflow
Figure 2	TransImpSpa benchmark	reproducibility/workflows/manuscript/figure_02/run_transimpspa_benchmark.py	manuscript/frozen_tables/figure_02/TRANSIMPSPA_FIGURE_METRICS.tsv	Frozen comparator workflow
Figure 2	Cross-stage wnt11f2 renderer	reproducibility/workflows/manuscript/figure_02/generate_wnt11f2_cross_stage_panels.py	manuscript/frozen_tables/figure_02/PRIMARY_ENDPOINTS_BY_EMBRYO.tsv	Generated source panels
Figure 3	Residual landscape	reproducibility/workflows/manuscript/figure_03/residual_landscape/run_audit.py	manuscript/frozen_tables/figure_03/RESIDUAL_VARIANCE_DECOMPOSITION.tsv	Frozen residual analysis
Figure 3	Negative-binomial null	reproducibility/workflows/manuscript/figure_03/run_nb_null.py	manuscript/frozen_tables/supplementary/08_residual_biology_robustness/full_residual_biology_metrics.tsv	Frozen robustness analysis
Figure 3	Registration robustness	reproducibility/workflows/manuscript/figure_03/build_s1_spateo_extension.py	manuscript/frozen_tables/figure_03/external_alignment_anchor_residual.tsv	Generated source panel
Figure 3	Panel-budget design	reproducibility/workflows/manuscript/figure_03/run_panel_design_extension.py	manuscript/frozen_tables/figure_03/panel_budget_performance.tsv	Frozen source-only design analysis
Figure 4	HyperSpatial-MAP-T	reproducibility/workflows/manuscript/figure_04/run_hyperspatial_map_t_4d_frozen_20260804.py	reproducibility/configs/manuscript/MAPT_fold_A.json; reproducibility/configs/manuscript/MAPT_fold_B.json	Frozen forecasting workflow
Figure 4	Corrected renderer	reproducibility/workflows/manuscript/figure_04/build_corrected_figures.py	manuscript/frozen_tables/figure_04/Figure_4_source_data.tsv	Generated source figure
Figure 5	DLPFC 2D generalization	reproducibility/workflows/manuscript/figure_05/dlpfc_2d/summarize_phase3.py	reproducibility/configs/manuscript/dlpfc_2d_protocol.json	Frozen 2D workflow and source figure
Figure 5	SPATCH Xenium	reproducibility/workflows/manuscript/figure_05/run_frozen_xenium_template.py	reproducibility/configs/spatch/xenium_prediction_lock_manifest.tsv	Frozen cross-platform workflow
Figure 5	SPATCH CosMx	reproducibility/workflows/manuscript/figure_05/03_extract_anchors_predict_and_lock.py	reproducibility/configs/spatch/02_PREDICTION_LOCK_MANIFEST.tsv	Frozen cross-platform workflow
Figure 5	SPATCH merged renderer	reproducibility/workflows/manuscript/figure_05/01_build_merged_figure.py	manuscript/frozen_tables/figure_05/01_PRIMARY_RESULTS_TABLE.tsv	Generated source figure
Figure 6	Stroke adaptation	reproducibility/workflows/manuscript/figure_06/run_real_stroke_map.py	reproducibility/configs/stroke/PREDICTION_LOCK.json	Frozen disease workflow
Figure 6	MAP versus CONCERT	reproducibility/workflows/manuscript/figure_06/run_official_concert_stroke.py	manuscript/frozen_tables/figure_06/GENE_LEVEL_COMPARISON.csv	Frozen comparator workflow
Figure 6	MASLD	reproducibility/workflows/manuscript/figure_06/26_HumanLiver_multidisease_MAP_20260825_110222_MASLD/01_prepare_and_lock_masld.py	reproducibility/configs/liver/FROZEN_CONFIG.json	Frozen liver workflow
Figure 6	PSC	reproducibility/workflows/manuscript/figure_06/28_Liver_PSC_MAP_20260825_175802/02_prepare_and_lock_psc.py	reproducibility/configs/liver/PSC_FROZEN_CONFIG_APPLIED.json	Frozen liver workflow
Figure 6	Alcohol-associated hepatitis	reproducibility/workflows/manuscript/figure_06/29_Liver_AlcoholHepatitis_MAP_20260825_182254/02_prepare_and_lock_ah.py	reproducibility/configs/liver/AH_FROZEN_CONFIG_APPLIED.json	Frozen liver workflow
Figure 6	Integrated liver renderer	reproducibility/workflows/manuscript/figure_06/32_Liver_multidisease_integrated_figure_v9_20260826_162012/build_liver_multidisease_v9.py	manuscript/frozen_tables/figure_06/07B_DISEASE_PROGRAM_SUMMARY.tsv	Generated source figure
Figure 6	Target-withheld gene lock	reproducibility/workflows/manuscript/figure_06/34_Liver_target_withheld_gene_interpretation_20260827_094120/01_lock_candidates_source_only.py	manuscript/frozen_tables/figure_06/CANDIDATE_GENE_LOCK.tsv	Pre-performance candidate lock
Figure 6	Target-withheld evaluation	reproducibility/workflows/manuscript/figure_06/34_Liver_target_withheld_gene_interpretation_20260827_094120/02_evaluate_locked_candidates.py	manuscript/frozen_tables/figure_06/CANDIDATE_GENE_LOCK.sha256	Frozen prediction evaluation
Figure 6	Target-withheld renderer	reproducibility/workflows/manuscript/figure_06/37_Liver_target_withheld_gene_v9style_refinement_20260827_134155/render_v9style.py	manuscript/frozen_tables/figure_06/TARGET_WITHHELD_GENE_RESULTS.tsv	Generated source figure
