disease	gene	predeclared_program	anchor_yes_no	hidden_target_yes_no	source_detectability_or_prevalence	biological_reason	selection_rank	selection_basis
MASLD	TAT	hepatocyte_zonation	no	yes	0.878600	periportal amino-acid metabolism and hepatocyte zonation	1	predeclared program membership; frozen healthy-source score 0.707100, disease-eligible source rank 1; cross-program coverage; no target prediction metric
MASLD	SCD	lipid_metabolic_reprogramming;steatosis_associated	no	yes	0.787523	fatty-acid desaturation and steatosis-associated lipid synthesis	2	predeclared program membership; frozen healthy-source score 0.378554, disease-eligible source rank 5; cross-program coverage; no target prediction metric
MASLD	DCN	extracellular_matrix_fibrosis	no	yes	0.734404	stromal extracellular-matrix organization and fibrotic remodeling	3	predeclared program membership; frozen healthy-source score 0.337999, disease-eligible source rank 6; cross-program coverage; no target prediction metric
MASLD	NFKBIA	inflammation	no	yes	0.421532	NF-kappaB feedback and inflammatory signaling	4	predeclared program membership; frozen healthy-source score 0.077007, disease-eligible source rank 16; cross-program coverage; no target prediction metric
PSC	TAT	hepatocyte_zonation	no	yes	0.878600	periportal hepatocyte identity and zonation	1	predeclared program membership; frozen healthy-source score 0.707100, disease-eligible source rank 1; cross-program coverage; no target prediction metric
PSC	DCN	portal_fibrotic	no	yes	0.734404	portal stromal matrix and fibrotic remodeling	2	predeclared program membership; frozen healthy-source score 0.337999, disease-eligible source rank 5; cross-program coverage; no target prediction metric
PSC	KRT8	ductular_reaction	no	yes	0.556304	epithelial intermediate filament represented in ductular reaction	3	predeclared program membership; frozen healthy-source score 0.162475, disease-eligible source rank 11; cross-program coverage; no target prediction metric
PSC	TIMP1	ecm_remodeling	no	yes	0.392840	matrix metalloproteinase inhibition and extracellular-matrix turnover	4	predeclared program membership; frozen healthy-source score 0.076101, disease-eligible source rank 14; cross-program coverage; no target prediction metric
AH	CYP3A4	metabolic_dysfunction	no	yes	0.975151	zonated hepatocyte xenobiotic metabolism altered in liver injury	1	predeclared program membership; frozen healthy-source score 0.632386, disease-eligible source rank 1; cross-program coverage; no target prediction metric
AH	DCN	fibrosis_ecm	no	yes	0.734404	stromal extracellular-matrix organization	2	predeclared program membership; frozen healthy-source score 0.337999, disease-eligible source rank 4; cross-program coverage; no target prediction metric
AH	TUBB	regenerative_response	no	yes	0.598368	microtubule component represented in regenerative/proliferative response	3	predeclared program membership; frozen healthy-source score 0.164560, disease-eligible source rank 7; cross-program coverage; no target prediction metric
AH	KRT8	hepatocyte_injury_stress	no	yes	0.556304	hepatocyte epithelial cytoskeleton and injury-associated remodeling	4	predeclared program membership; frozen healthy-source score 0.162475, disease-eligible source rank 8; cross-program coverage; no target prediction metric
AH	NFKBIA	inflammatory_immune_response	no	yes	0.421532	NF-kappaB feedback and inflammatory signaling	5	predeclared program membership; frozen healthy-source score 0.077007, disease-eligible source rank 11; cross-program coverage; no target prediction metric
